"","PERIODO_OFICIALIZACION","SUBREGIMEN","REGION_ORIGEN","PAIS_ORIGEN_DESC","REGION_PROCEDENCIA","PAIS_PROCEDENCIA_DESC","MEDIO_TRANSPORTE_DESC","ADUANA_DESC","REGION_ADUANA","UNIDAD_DESC","CAPITULO","PARTIDA","CANTIDAD_UNIDAD","KILOS_NETOS","MONTO_FOB_DOLAR","CANAL"
"1979",201701,"IC05","MS","BRASIL","MS","BRASIL","CAMION","SANTO_TOME","DIR_REG_AD_HIDROV,"UNIDAD","87","8702",6,74760,1150319.52,"N"
"1980",201701,"IC05","MS","BRASIL","MS","BRASIL","CAMION","PASO_DE_LOS_LIBRES","DIR_REG_AD_HIDROV,"UNIDAD","85","8504",14,6278,210436.31,"N"
"1981",201701,"IC04","NA","MEXICO","NA","MEXICO","ACUATICO","CAMPANA","SUB_GRAL_DE_OP_ADUNERAS_MET","UNIDAD","87","8704",168,458640,2868173,"N"
"1982",201703,"IC04","XX","COREA_REPUBLICANA","XX","COREA_REPUBLICANA","ACUATICO","CAMPANA","SUB_GRAL_DE_OP_ADUNERAS_MET","UNIDAD","87","8704",56,90720,743008,"V"
"1983",201701,"IG04","UE","FRANCIA","UE","REP_FED_DE_ALEMANIA","ACUATICO","ROSARIO","DIR_REG_AD_HIDROV,"UNIDAD","85","8511",210300,13234,107584.57,"V"
"1984",201703,"IC03","MS","BRASIL","MS","BRASIL","CAMION","SANTO_TOME","DIR_REG_AD_HIDROV,"UNIDAD","85","8507",431,18186,60402.34,"R"
"1985",201701,"IC04","MS","BRASIL","MS","CHILE","CAMION","CAMPANA","SUB_GRAL_DE_OP_ADUNERAS_MET","UNIDAD","85","8517",1,500,699071.15,"R"
"1986",201701,"IC04","CN","CHINA","CN","CHINA","ACUATICO","ROSARIO","DIR_REG_AD_HIDROV,"UNIDAD","85","8521",760,2008,49079,"R"
"1987",201702,"IG04","MS","BRASIL","MS","BRASIL","CAMION","ROSARIO","DIR_REG_AD_HIDROV,"UNIDAD","87","8703",310,315724,2546936,"N"
"1988",201702,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8538",1791.98,1791.98,111213.42,"V"
"1989",201701,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8535",1419.98,1419.98,42269.79,"N"
"1990",201702,"IC04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8536",2234.02,2234.02,210902.31,"R"
"1991",201703,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8517",348.51,348.51,124466.64,"V"
"1992",201701,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8544",624.25,624.25,113501.55,"R"
"1993",201701,"IC04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8538",145.51,145.51,94246.68,"N"
"1994",201703,"IC04","CN","CHINA","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8536",605.15,605.15,92093.46,"R"
"1995",201701,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","87","8708",5081.9,5081.9,179708.5,"N"
"1996",201702,"IC04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8544",1727.14,1727.14,78148.81,"R"
"1997",201703,"IC04","CN","CHINA","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8517",583.23,583.23,65418.67,"R"
"1998",201703,"IC04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","82","8207",296.43,296.43,92512.54,"V"
"1999",201701,"IC04","MS","BRASIL","MS","BRASIL","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","82","8207",1184.24,1184.24,61084.07,"R"
